Date,Time,cityAccidente,countryAccidente,Operator,cityOrigen,cityDestino,Type,Aboard,Fatalities,Ground,latAccidente,lonAccidente,latDestino,lonDestino,latOrigen,lonOrigen,Summary
3/5/09,12:00, El Alto de Rubio, Venezuela,Military - Venezuelan Army,Anchorage,Karkov,Mi-35,18,18,0,42.8639287,-8.470399,49.2928928,21.0479357,61.218056,-149.9002806,The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3 300 feet. The cause was never determined. Possibly a naviational error or for political reasons.
1/4/09,14:00, Crimond, Scotland,Bond Offshore Helicopters,Goose Bay,Darwin,Eurocopter AS 332L2 Super Puma 2,16,16,0,57.5995631,-1.9152904,-12.46044,130.8410469,44.36672,-75.8463441,Crashed 3 miles south of Gilmer. The outboard engine separated from the aircraft after a propeller blade broke off resulting in an imbalanced condition which led to loss of control of the aircraft.
7/7/08,3:50, Bogota, Colombia,Centurian Air Cargo,Rio de Janeiro,Barcelona,Boeing B-747-209BSF,8,0,3,4.5980478,-74.0760867,41.3825596,2.1771353,-22.9110137,-43.2093727,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.
5/26/08,18:15, Chelyabinsk, Russia,Moskovia Airlines,Manono,False Pass,Antonov An-12,9,9,0,55.1598408,61.4025547,54.8525566,-163.4147747,-13.85084425,-172.1094989,
4/28/08,9:38, Crimea, Black Sea,Naftogaz,Goma,Santa Cruz,Mil Mi-8T,20,20,0,51.5073608,-0.1327054,36.9746099,-122.0294259,-1.6665893,29.2256875,Destoryed in a storm.
3/9/08,20:20, Dubai, United Arab Emirates,Aerogulf,Brussels,Mexico City,Bell 212,7,7,0,25.2683521,55.2961962,19.4325301,-99.1332102,50.84404145,4.367201694,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.
3/3/08,16:00, Bethani, Nepal,United Nations Mission,Cairo,Campbeltown,Mi-17,10,10,0,-25.5552778,27.6086111,55.4282582,-5.6029617,30.0488185,31.2436663,The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety.
8/10/07,15:30, Cubarral, Colombia,Nacional de Aviacion,Edinburgh,San Francisco,Let 410 UVP-E10A,18,18,0,3.8036201,-73.8397484,37.7792768,-122.4192704,55.9483544,-3.1931187,Plunged to the ground thirty minutes after leaving Fort Worth. Tried to return to Dallas airport due to inclement weather.
6/5/07,9:10, El-Thamad, Egypt,Military - French Air Force,Peking,Kerman,de Havilland Canada DHC-6 Twin Otter,9,9,0,83.0401008,-69.7943441,30.2924363,57.0646827,39.9059093,116.3913489,Caught fire and crashed into a field two minutes after taking off. A farm worker was crushed to death when the wreckage landed on him.
5/5/07,, Dizangue, Cameroon,Kenya Airways,London,Khartoum,Boeing B-737-8AL,114,114,0,3.7489813,10.017305,15.5933247,32.5356502,51.5073219,-0.1276474,While on approach to Burbank Airport  the airliner crashed into Rice Canyon  just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings  continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio  the existing weather.
1/20/07,, Baghdad, Iraq,Military - US Army,Cardington,La Paz,Sikorsky UH-60L Black Hawk,12,12,0,33.3024248,44.3787992,-16.495647,-68.133542,52.1179428,-0.4137868,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.
10/29/06,11:30, Abuja, Nigeria,ADC Airlines,Test flight,Kerch,Boeing 737-2B7,105,96,0,9.0643305,7.4892974,45.3534002,36.4538645,37.2363025,-115.8118046,Exploded and crashed into the sea off the southern coast of Italy.
8/22/06,15:30, Donetsk, Ukraine,Pulkovo Airlines,Yekaterinburg,Jamba,Tupolev Tu-154M,170,170,0,48.0158753,37.8013407,10.3390166,12.3975909,56.8391034,60.6082502,
9/9/05,15:45, Brazzaville, Congo,Air Kasai,Santiago,Cheyenne,Antonov AN-26A,14,14,0,-4.2694407,15.2712256,41.1399814,-104.8202462,-33.4377968,-70.6504451,The flying boat landed in a storm in the open ocean due to engine failure. After three hours  the plane was  capsized by a large wave.
