Date,cityAccidente,countryAccidente,Operator,cityOrigen,cityDestino,Type,Aboard,Fatalities,Ground,latAccidente,lonAccidente,latDestino,lonDestino,latOrigen,lonOrigen
3/5/2009, El Alto de Rubio, Venezuela,Military - Venezuelan Army,Anchorage,Karkov,Mi-35,18,18,0,42.8639287,-8.470399,49.2928928,21.0479357,61.218056,-149.9002806
1/4/2009, Crimond, Scotland,Bond Offshore Helicopters,Goose Bay,Darwin,Eurocopter AS 332L2 Super Puma 2,16,16,0,57.5995631,-1.9152904,-12.46044,130.8410469,44.36672,-75.8463441
7/7/2008, Bogota, Colombia,Centurian Air Cargo,Rio de Janeiro,Barcelona,Boeing B-747-209BSF,8,0,3,4.5980478,-74.0760867,41.3825596,2.1771353,-22.9110137,-43.2093727
5/26/2008, Chelyabinsk, Russia,Moskovia Airlines,Manono,False Pass,Antonov An-12,9,9,0,55.1598408,61.4025547,54.8525566,-163.4147747,-13.85084425,-172.1094989
4/28/2008, Crimea, Black Sea,Naftogaz,Goma,Santa Cruz,Mil Mi-8T,20,20,0,51.5073608,-0.1327054,36.9746099,-122.0294259,-1.6665893,29.2256875
3/9/2008, Dubai, United Arab Emirates,Aerogulf,Brussels,Mexico City,Bell 212,7,7,0,25.2683521,55.2961962,19.4325301,-99.1332102,50.84404145,4.367201694
3/3/2008, Bethani, Nepal,United Nations Mission,Cairo,Campbeltown,Mi-17,10,10,0,-25.5552778,27.6086111,55.4282582,-5.6029617,30.0488185,31.2436663
8/10/2007, Cubarral, Colombia,Nacional de Aviacion,Edinburgh,San Francisco,Let 410 UVP-E10A,18,18,0,3.8036201,-73.8397484,37.7792768,-122.4192704,55.9483544,-3.1931187
6/5/2007, El-Thamad, Egypt,Military - French Air Force,Peking,Kerman,de Havilland Canada DHC-6 Twin Otter,9,9,0,83.0401008,-69.7943441,30.2924363,57.0646827,39.9059093,116.3913489
5/5/2007, Dizangue, Cameroon,Kenya Airways,London,Khartoum,Boeing B-737-8AL,114,114,0,3.7489813,10.017305,15.5933247,32.5356502,51.5073219,-0.1276474
1/20/2007, Baghdad, Iraq,Military - US Army,Cardington,La Paz,Sikorsky UH-60L Black Hawk,12,12,0,33.3024248,44.3787992,-16.495647,-68.133542,52.1179428,-0.4137868
10/29/2006, Abuja, Nigeria,ADC Airlines,Test flight,Kerch,Boeing 737-2B7,105,96,0,9.0643305,7.4892974,45.3534002,36.4538645,37.2363025,-115.8118046
