Date,Time,CrashCiudad,CrashPais,Operator,Flight #,OrigenCiudad,DestinoCiudad,Type,Registration,Cn_ln,Aboard,Fatalities,Ground,CrashLatitud,CrashLongitud,DestinoLatitud,DestinoLongitud,OrigenLatitud,OrigenLongitud,Summary
03/07/1988,10:55,  Bandar Abbas, Iran,Iran Air,655,Bandar Abbas,Dubai,Airbus A300B2-203,EP-IBU,186,290,290,0,271.781.213,562.766.447,252.683.521,552.961.962,271.781.213,562.766.447,During a demonstration flight  a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet  killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight  tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs  pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.
3/31/1984,08:30,  Bimini,,State Airlines,,Ft. Lauderdale,Bimini,Cessna 402B,N44NC,402B-0852,6,6,0,2.369.106.245,-799.433.551.006.254,2.369.106.245,-799.433.551.006.254,261.223.084,-801.433.786,First U.S. dirigible Akron exploded just offshore at an altitude of 1 000 ft. during a test flight.
10/13/1973,20:15,  Domodedovo, Russia,Aeroflot,964,Tbilisi,Moscow,Tupolev TU-104B,SSR-42486,21504,119,119,0,NaN, NaN,557.516.335,376.187.042,41.693.435,448.014.979,The first fatal airplane accident in Canada occurred when American barnstormer  John M. Bryant  California aviator was killed.
9/28/1992,14:30,  Kathmandu, Nepal,Pakistan International Airlines,268,Karachi,Kathmandu,Airbus A300B4-203,AP-BCP,25,167,167,0,277.076.762,853.148.882,277.076.762,853.148.882,248.667.795,670.311.286,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
06/12/1972,,  LaRandall,Canada,Superior Airways,,Grand Canyon,Las Vegas,Douglas C-47B-15-DK,CF-AUQ,15281/26726,3,3,0,NaN, NaN,361.662.859,-115.149.225,360.965.604,-1.120.984.941,Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3 000 ft..
10/12/1991,16:42,  Las Vegas, Nevada,Las Vegas Airlines,,Lusaka,Dakar,Piper PA-31-350 Navajo,N350MR,31-7652100,5,5,0,NaN, NaN,146.930.042,-17.447.026,-154.166.967,282.813.812,Exploded and burned near Neuwerk Island   when hydrogen gas  being vented  was ignited by lightning.
4/27/1993,23:00,  Libreville, Gambia,Military - Zambian Air Force,,Rockhampton,MacKay,de Havilland  Canada  DHC-5D Buffalo,AF-319,69,30,30,0,0.3900022,94.540.009,-21.141.956,1.491.865.149,-233.782.501,1.505.134.442,Crashed into trees while attempting to land after being shot down by British and French aircraft.
10/06/1960,,  Mackay, Qld. Australia,Trans Australia Airlines,,Pelee Island,Windsor,Fokker F-27 Friendship 100,VH-TFB,10112,29,29,0,-21.141.956,1.491.865.149,423.032.758,-830.285.111,418.171.158,-826.457.748,Shot down in flames by the British 39th Home Defence Squadron.
1/17/2004,16:40,  Pelee Island, Ontario,Georgia Express,126,New York City,Buffalo,Cessna 208B Grand Caravan,C-FAGA,208B-0658,10,10,0,418.171.158,-826.457.748,428.864.468,-788.783.689,407.305.991,-739.865.812,Crashed near the Black Sea  cause unknown.
04/02/1969,,  Taiwan,,Military - U.S. Air Force,,Santiago,Mendosa,Lockheed HC-130H Hercules,65-0990,4151,13,13,0,239.739.374,1.209.820.179,NaN, NaN,-334.377.968,-706.504.451,Shot down by British aircraft crashing in flames.
01/12/1974,19:26,  Thiells, New York,Northwest Orient Airlines,6231,London,Salzburg,Boeing B-727-251,N274US,20296,3,3,0,412.108.695,-740.182.453,478.001.977,130.410.592,NaN, NaN,Crashed in a storm.
7/16/1932,,  Vitacura, Chile,Panagra,,Kano,Ikeja,Ford 5-AT-C Tri Motor,NC403H,5-AT-062,9,9,0,-333.801.502,-705.657.735.288.221,65.960.605,3.340.787,119.918.671,85.303.654,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
02/10/1971,11:10, Aarsele, Belgium,British European Airways,706,Abidjan,Lagos,Vickers Vanguard 951,G-APEC,706,63,63,0,509.972.412,341.398.841.966.253,200.171.109,103.378.253,54.091.179,-40.422.099,Struck by lightning and crashed into the BaltiSea.
4/28/2002,06:15, Abakan, Russia,Private,,Lagos,Abuja,Mi-8 helicopter,,,20,8,0,537.152.883,914.388.763,90.643.305,74.892.974,200.171.109,103.378.253,Caught fire and crashed.
09/06/1946,13:15, Abeokuta, Nigeria,Military -Royal Air Force,,Lagos,Sokoto,Douglas C-47 Dakota,KG747,25291,18,18,0,7.161,3.348,130.611.195,53.152.203,200.171.109,103.378.253,Crashed into the sea from an altitude of 3 000 ft. after being hit by British aircraft fire.
1/30/2000,21:08, Abidjan, Ivory Coast,Kenya Airways,431,Training,Ankara,AirbusA310-304,5Y-BEN,426,179,169,0,54.091.179,-40.422.099,399.220.794,32.853.758,3.774.919.975,-12.239.968.795,Shot down by British aircraft.
1/31/1989,12:10, Abilene, Texas,Military - U.S. Air Force,,Damascus,Al Kari,Boeing KC-135A,63-7990,18607,19,19,0,324.464.534,-997.333.478,482.764.997,-35.711.477,335.130.695,363.095.814,Shot down by British aircraft.
9/13/1994,12:05, Abuja, Nigeria,Aerocontroctors - Charter,,Aden,Moscow,de Havilland Canada DHC-6 Twin Otter 300,5N-ATQ,538,5,3,0,90.643.305,74.892.974,557.516.335,376.187.042,128.331.607,449.166.065,Shot down by French anti-aircraft fire.
10/29/2006,11:30, Abuja, Nigeria,ADC Airlines,53,Test flight,Kerch,Boeing 737-2B7,5N-BFK,22891/998,105,96,0,90.643.305,74.892.974,453.534.002,364.538.645,372.363.025,-1.158.118.046,Exploded and crashed into the sea off the southern coast of Italy.
8/13/1966,, Acapulco, Mexico,Aeronaves de Mexico,,Adler,Sochi,Douglas DC-8-51,XA-PEI,45652/176,6,6,0,168.602.906,-998.768.321,NaN, NaN,475.067.342,7.697.178,Shot down by British aircraft crashing from a height of 17 000 ft.
1/21/1972,, Adana, Turkey,Turkish Airlines (THY),,Donetsk,Casablanca,MDonnell Douglas DC-9-32,TC-JAC,47213/358,8,1,0,370.033.484,353.263.252,335.939.157,-76.176.293,480.158.753,378.013.407,Shot down by british aircraft.
1/14/1982,, Addis Ababa, Ethiopia,Military - Ethiopian Air Force,,Lvov,Algiers,Antonov AN-26,71383,,73,73,0,9.0,38.75,280.000.272,29.999.825,498.419.505,240.315.968,
11/22/1966,12:20, Aden, Yemen,Aden Airways,,Agadir,Sao Paulo,Douglas DC-3,VR-AAN,4284,30,30,0,128.331.607,449.166.065,-235.476.397,-46.637.365,304.218.772,-95.850.476,
01/03/1977,, Aden, Yemen,Alyemda,,Agadir,Ahmadabad,Douglas DC-3,7O-ABF,13475,21,20,0,128.331.607,449.166.065,230.216.238,725.797.068,304.218.772,-95.850.476,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
09/05/1982,, Aden, Yemen,Alyemda,,Bauru,Tunis,de Havilland Canada DHC-7-103,7O-ACK,15,49,47,0,128.331.607,449.166.065,338.439.408,9.400.138,-223.218.102,-490.705.863,
